snapshot_datetime,facility,ed_treatment_spaces,ed_occupied_spaces,inpatient_available_beds,pending_discharges,beds_cleaning,nurses_on_shift,physicians_on_shift,consult_queue,lab_median_tat_minutes,imaging_median_tat_minutes,ems_arrivals_expected,transfer_requests_waiting,synthetic_assumption
2026-05-28 13:00:00,Foothills Medical Centre,46,39,14,23,7,13,4,11,53,143,7,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 14:00:00,Foothills Medical Centre,60,48,16,1,6,20,4,11,98,149,6,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 15:00:00,Foothills Medical Centre,55,45,0,10,6,33,8,0,67,127,6,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 16:00:00,Foothills Medical Centre,36,20,0,24,0,29,6,3,95,70,2,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 17:00:00,Foothills Medical Centre,40,30,13,7,6,36,10,0,42,73,8,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 18:00:00,Foothills Medical Centre,37,28,9,21,5,16,3,5,72,88,1,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 19:00:00,Foothills Medical Centre,49,45,0,21,2,29,9,3,97,90,2,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 20:00:00,Foothills Medical Centre,47,36,17,5,3,19,3,1,103,89,3,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 21:00:00,Foothills Medical Centre,56,43,6,5,1,13,5,13,119,72,8,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 22:00:00,Foothills Medical Centre,33,29,6,1,1,27,8,9,85,73,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 23:00:00,Foothills Medical Centre,55,51,2,2,3,16,13,7,125,97,7,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 00:00:00,Foothills Medical Centre,46,36,16,1,5,29,13,14,110,161,9,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 01:00:00,Foothills Medical Centre,32,25,1,14,4,27,3,11,118,160,3,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 02:00:00,Foothills Medical Centre,54,52,16,11,1,34,11,5,52,69,3,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 03:00:00,Foothills Medical Centre,31,18,2,13,2,39,9,1,99,66,2,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 04:00:00,Foothills Medical Centre,45,43,15,17,6,32,3,12,122,109,4,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 05:00:00,Foothills Medical Centre,60,57,16,23,4,38,3,3,74,86,6,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 06:00:00,Foothills Medical Centre,54,47,16,1,3,23,4,5,58,137,7,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 07:00:00,Foothills Medical Centre,44,35,2,24,0,17,12,15,99,154,9,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 08:00:00,Foothills Medical Centre,32,20,12,3,6,17,4,10,44,137,1,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 09:00:00,Foothills Medical Centre,34,31,6,17,6,14,7,8,74,79,7,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 10:00:00,Foothills Medical Centre,35,35,13,18,2,14,11,2,88,124,1,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 11:00:00,Foothills Medical Centre,28,23,13,10,0,23,8,6,94,182,0,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 12:00:00,Foothills Medical Centre,54,50,4,19,5,17,9,6,102,113,4,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 13:00:00,Foothills Medical Centre,59,51,8,6,7,37,10,4,65,74,1,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 14:00:00,Foothills Medical Centre,31,19,8,2,7,24,5,0,109,86,0,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 15:00:00,Foothills Medical Centre,46,38,4,5,1,26,13,3,125,101,6,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 16:00:00,Foothills Medical Centre,49,48,6,7,0,15,11,3,117,129,3,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 17:00:00,Foothills Medical Centre,30,28,9,21,7,16,11,3,96,119,8,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 18:00:00,Foothills Medical Centre,40,36,16,15,0,15,5,14,119,82,9,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 19:00:00,Foothills Medical Centre,42,38,16,6,4,34,12,13,90,128,5,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 20:00:00,Foothills Medical Centre,27,27,15,10,3,27,8,2,99,169,8,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 21:00:00,Foothills Medical Centre,58,51,0,7,2,32,7,8,87,182,5,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 22:00:00,Foothills Medical Centre,30,19,5,5,3,25,9,13,81,179,3,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 23:00:00,Foothills Medical Centre,30,29,1,1,7,26,12,12,57,89,8,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 00:00:00,Foothills Medical Centre,43,32,5,19,6,35,3,7,128,102,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 01:00:00,Foothills Medical Centre,54,44,6,17,5,32,4,0,102,63,5,3,Expanded operational feed is synthetic and assumption-based.
2026-05-30 02:00:00,Foothills Medical Centre,59,52,3,6,3,25,12,7,119,136,1,5,Expanded operational feed is synthetic and assumption-based.
2026-05-30 03:00:00,Foothills Medical Centre,45,37,8,9,5,21,12,3,85,164,1,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 04:00:00,Foothills Medical Centre,59,47,7,20,7,14,9,5,42,78,5,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 05:00:00,Foothills Medical Centre,54,40,15,15,3,38,13,8,106,172,0,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 06:00:00,Foothills Medical Centre,53,47,6,20,2,22,13,4,124,125,7,4,Expanded operational feed is synthetic and assumption-based.
2026-05-30 07:00:00,Foothills Medical Centre,59,49,0,25,1,17,4,14,71,95,1,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 08:00:00,Northeast Community Health Centre,38,35,10,11,4,29,12,13,104,69,7,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 09:00:00,Northeast Community Health Centre,40,33,15,15,7,35,12,6,120,73,0,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 10:00:00,Northeast Community Health Centre,34,29,12,21,2,30,12,12,82,133,1,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 11:00:00,Northeast Community Health Centre,29,29,11,21,0,25,9,13,47,99,3,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 12:00:00,Northeast Community Health Centre,34,34,8,5,0,39,8,13,115,80,3,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 13:00:00,Northeast Community Health Centre,44,35,13,23,7,18,5,3,105,136,6,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 14:00:00,Northeast Community Health Centre,33,24,2,19,6,36,6,4,117,189,7,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 15:00:00,Northeast Community Health Centre,32,23,1,20,5,28,13,2,109,136,4,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 16:00:00,Northeast Community Health Centre,30,26,11,3,6,25,3,10,105,183,1,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 17:00:00,Northeast Community Health Centre,45,39,10,11,0,33,4,7,104,97,0,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 18:00:00,Northeast Community Health Centre,46,46,13,25,6,27,12,14,43,57,4,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 19:00:00,Northeast Community Health Centre,61,49,8,8,5,36,8,14,87,61,4,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 20:00:00,Northeast Community Health Centre,60,49,16,10,3,13,7,13,54,80,1,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 21:00:00,Northeast Community Health Centre,40,33,9,15,1,33,6,14,80,138,8,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 22:00:00,Northeast Community Health Centre,36,27,2,8,5,23,8,1,93,135,0,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 23:00:00,Northeast Community Health Centre,40,33,3,20,4,36,8,8,56,170,7,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 00:00:00,Northeast Community Health Centre,51,45,10,8,4,35,4,3,121,81,1,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 01:00:00,Northeast Community Health Centre,60,50,3,5,6,39,9,7,113,83,5,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 02:00:00,Northeast Community Health Centre,55,49,3,13,7,29,8,7,46,188,8,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 03:00:00,Northeast Community Health Centre,58,52,9,25,0,29,8,10,76,69,5,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 04:00:00,Northeast Community Health Centre,26,21,7,22,3,26,13,0,42,176,9,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 05:00:00,Northeast Community Health Centre,27,20,5,20,6,23,9,13,63,142,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 06:00:00,Northeast Community Health Centre,42,34,17,10,6,21,4,15,87,128,6,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 07:00:00,Northeast Community Health Centre,43,35,7,4,0,39,10,1,122,119,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 08:00:00,Northeast Community Health Centre,35,27,16,15,3,34,3,5,59,137,7,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 09:00:00,Northeast Community Health Centre,56,46,8,5,6,32,9,14,55,182,5,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 10:00:00,Northeast Community Health Centre,53,43,8,24,7,37,10,14,75,173,8,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 11:00:00,Northeast Community Health Centre,54,52,7,15,6,21,12,6,72,180,3,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 12:00:00,Northeast Community Health Centre,51,42,4,7,0,13,12,11,129,84,8,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 13:00:00,Northeast Community Health Centre,29,25,12,13,1,22,9,15,67,135,5,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 14:00:00,Northeast Community Health Centre,33,28,15,22,2,26,10,6,47,98,6,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 15:00:00,Northeast Community Health Centre,30,23,9,19,1,14,9,0,56,88,4,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 16:00:00,Northeast Community Health Centre,30,30,3,15,2,38,9,7,112,57,1,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 17:00:00,Northeast Community Health Centre,35,34,16,22,3,37,4,5,78,92,5,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 18:00:00,Northeast Community Health Centre,28,27,12,25,0,20,12,14,76,109,0,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 19:00:00,Northeast Community Health Centre,35,27,6,4,0,27,13,15,102,119,0,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 20:00:00,Northeast Community Health Centre,50,43,10,19,1,21,9,14,92,149,7,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 21:00:00,Northeast Community Health Centre,53,46,16,19,7,17,10,11,60,186,6,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 22:00:00,Northeast Community Health Centre,51,47,4,18,6,36,13,1,114,114,4,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 23:00:00,Northeast Community Health Centre,34,30,16,6,5,37,6,11,84,105,5,5,Expanded operational feed is synthetic and assumption-based.
2026-05-30 00:00:00,Northeast Community Health Centre,27,20,10,10,6,20,7,11,54,161,1,5,Expanded operational feed is synthetic and assumption-based.
2026-05-30 01:00:00,Northeast Community Health Centre,55,47,6,6,5,25,4,7,50,89,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 02:00:00,Northeast Community Health Centre,34,24,7,4,6,15,12,1,121,138,7,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 03:00:00,Northeast Community Health Centre,37,25,9,17,4,27,4,5,86,154,6,3,Expanded operational feed is synthetic and assumption-based.
2026-05-30 04:00:00,Northeast Community Health Centre,54,50,0,1,2,20,4,4,59,179,9,3,Expanded operational feed is synthetic and assumption-based.
2026-05-30 05:00:00,Northeast Community Health Centre,32,23,16,23,5,20,5,2,50,105,9,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 06:00:00,Northeast Community Health Centre,60,59,15,11,1,15,3,5,45,64,6,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 07:00:00,Northeast Community Health Centre,59,53,5,4,3,34,3,4,52,175,3,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 08:00:00,Red Deer Regional Hospital Centre,39,38,0,21,7,26,12,5,49,148,0,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 09:00:00,Red Deer Regional Hospital Centre,30,24,14,17,4,23,10,7,127,71,2,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 10:00:00,Red Deer Regional Hospital Centre,31,31,5,16,0,24,3,1,114,164,2,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 11:00:00,Red Deer Regional Hospital Centre,55,47,1,23,5,22,6,8,79,100,2,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 12:00:00,Red Deer Regional Hospital Centre,39,31,17,8,1,30,4,13,60,142,4,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 13:00:00,Red Deer Regional Hospital Centre,50,42,2,1,6,13,6,7,117,109,2,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 14:00:00,Red Deer Regional Hospital Centre,50,40,4,17,1,25,10,13,91,76,9,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 15:00:00,Red Deer Regional Hospital Centre,58,52,16,21,2,16,6,7,71,57,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 16:00:00,Red Deer Regional Hospital Centre,28,22,2,20,5,31,8,10,50,110,8,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 17:00:00,Red Deer Regional Hospital Centre,44,36,8,11,7,33,7,8,89,134,7,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 18:00:00,Red Deer Regional Hospital Centre,53,40,7,2,2,24,7,10,59,79,2,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 19:00:00,Red Deer Regional Hospital Centre,50,40,1,20,4,21,7,11,50,169,3,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 20:00:00,Red Deer Regional Hospital Centre,46,40,3,25,7,31,6,6,57,111,9,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 21:00:00,Red Deer Regional Hospital Centre,40,36,6,12,3,21,6,2,81,154,7,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 22:00:00,Red Deer Regional Hospital Centre,37,36,8,5,2,34,3,0,65,92,0,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 23:00:00,Red Deer Regional Hospital Centre,31,23,5,14,3,34,11,4,72,153,5,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 00:00:00,Red Deer Regional Hospital Centre,55,47,9,22,2,24,10,9,42,155,5,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 01:00:00,Red Deer Regional Hospital Centre,33,31,5,17,3,15,7,11,63,55,8,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 02:00:00,Red Deer Regional Hospital Centre,43,38,8,23,5,36,7,12,110,111,7,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 03:00:00,Red Deer Regional Hospital Centre,50,38,9,4,3,13,8,6,101,70,8,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 04:00:00,Red Deer Regional Hospital Centre,56,51,15,17,3,32,12,5,46,97,9,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 05:00:00,Red Deer Regional Hospital Centre,33,29,16,13,6,15,9,4,57,180,3,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 06:00:00,Red Deer Regional Hospital Centre,39,32,4,8,1,24,12,12,51,184,8,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 07:00:00,Red Deer Regional Hospital Centre,35,29,9,11,7,24,8,1,124,61,0,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 08:00:00,Red Deer Regional Hospital Centre,40,35,14,9,3,36,5,9,115,128,3,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 09:00:00,Red Deer Regional Hospital Centre,31,28,8,17,7,25,9,9,65,61,1,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 10:00:00,Red Deer Regional Hospital Centre,53,48,6,22,2,36,13,10,89,60,1,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 11:00:00,Red Deer Regional Hospital Centre,38,32,3,22,4,18,9,15,84,142,3,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 12:00:00,Red Deer Regional Hospital Centre,36,29,13,3,7,34,4,12,104,129,4,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 13:00:00,Red Deer Regional Hospital Centre,53,42,10,8,4,16,3,6,49,147,9,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 14:00:00,Red Deer Regional Hospital Centre,47,35,12,15,2,25,12,9,48,77,4,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 15:00:00,Red Deer Regional Hospital Centre,33,24,0,20,4,31,8,7,119,189,8,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 16:00:00,Red Deer Regional Hospital Centre,34,25,0,23,2,13,12,15,105,143,7,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 17:00:00,Red Deer Regional Hospital Centre,34,28,12,9,7,19,4,5,127,76,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 18:00:00,Red Deer Regional Hospital Centre,42,41,10,14,4,36,13,10,126,159,8,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 19:00:00,Red Deer Regional Hospital Centre,31,26,1,22,7,13,4,10,54,137,0,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 20:00:00,Red Deer Regional Hospital Centre,59,39,4,13,6,35,6,5,59,132,9,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 21:00:00,Red Deer Regional Hospital Centre,61,60,6,14,1,38,13,13,77,89,3,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 22:00:00,Red Deer Regional Hospital Centre,50,48,15,20,1,22,11,8,121,156,1,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 23:00:00,Red Deer Regional Hospital Centre,38,31,9,13,4,13,4,10,129,114,6,0,Expanded operational feed is synthetic and assumption-based.
2026-05-30 00:00:00,Red Deer Regional Hospital Centre,36,34,16,22,3,21,10,9,128,57,0,5,Expanded operational feed is synthetic and assumption-based.
2026-05-30 01:00:00,Red Deer Regional Hospital Centre,45,45,5,9,1,28,5,12,74,185,3,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 02:00:00,Red Deer Regional Hospital Centre,59,49,13,16,2,24,10,3,98,63,7,4,Expanded operational feed is synthetic and assumption-based.
2026-05-30 03:00:00,Red Deer Regional Hospital Centre,35,24,11,15,6,13,9,5,119,145,3,5,Expanded operational feed is synthetic and assumption-based.
2026-05-30 04:00:00,Red Deer Regional Hospital Centre,43,39,4,20,4,21,7,9,124,80,8,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 05:00:00,Red Deer Regional Hospital Centre,50,43,14,10,7,13,6,5,102,170,7,4,Expanded operational feed is synthetic and assumption-based.
2026-05-30 06:00:00,Red Deer Regional Hospital Centre,29,23,1,10,5,33,12,1,61,113,0,3,Expanded operational feed is synthetic and assumption-based.
2026-05-30 07:00:00,Red Deer Regional Hospital Centre,60,52,11,3,7,35,12,11,63,167,9,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 08:00:00,Royal Alexandra Hospital,46,39,14,16,1,14,13,8,49,181,7,5,Expanded operational feed is synthetic and assumption-based.
